"yearmonth","timezone"
"256501",129
"256502",101
"256503",154
"256504",211
"256505",6817
"256506",33445
"256507",23374
"256508",10493
"256509",4644
"256510",5755
"256511",10274
"256512",9663
"256601",11130
"256602",11365
"256603",12442
"256604",8597
"256605",6261
"256606",2468
