"number","ampr_nb","tumbon_nb","ampr_main_nb","tumbon_main_nb"
1,"35","02","24","02"
546,"35","02","18","02"
4,"35","02","31","01"
1,"36","02","05","02"
1,"36","02","18","02"
3,"36","02","20","04"
2,"36","02","37","01"
3,"36","05","05","02"
2,"36","05","14","01"
2,"36","05","30","04"
1,"36","02","37","02"
7,"36","02","08","02"
7,"36","02","41","01"
634,"36","02","42","03"
10,"36","05","12","03"
2,"36","05","26","01"
11,"36","05","30","01"
15,"36","05","36","02"
2,"36","05","41","01"
26,"36","05","42","03"
11,"37","02","08","02"
10,"37","02","07","03"
3,"37","02","11","01"
4,"37","02","17","02"
4,"37","02","37","01"
5,"37","02","37","02"
1,"37","02","40","03"
6,"38","01","08","02"
24,"38","01","17","02"
14,"38","01","32","01"
7,"38","01","37","02"
4,"38","01","42","03"
1,"38","01","10","01"
2,"38","01","17","04"
6,"38","01","37","01"
1,"38","01","07","03"
46,"39","03","08","02"
38,"39","03","07","03"
5,"39","03","33","03"
5,"39","03","17","02"
4,"39","03","33","02"
2,"39","03","34","01"
2335,"40","04","18","02"
1,"40","04","31","01"
1854,"40","04","40","03"
2,"40","02","19","02"
18,"40","04","40","04"
2,"40","02","21","07"
46,"40","02","40","04"
1,"40","04","20","04"
2,"40","04","23","02"
1,"41","01","25","02"
3,"41","01","29","01"
2771,"41","01","30","01"
2,"41","01","30","04"
793,"41","01","38","01"
228,"41","01","37","01"
2,"41","01","17","04"
1,"41","01","18","02"
1531,"41","01","36","02"
2103,"41","01","41","01"
15,"41","01","42","03"
8,"42","01","42","03"
1,"42","03","02","02"
6,"42","03","05","02"
2,"42","03","14","01"
1,"42","03","41","01"
2,"42","03","07","03"
3,"42","03","10","01"
11,"42","03","17","02"
2,"42","03","20","04"
1,"42","03","37","01"
2112,"42","03","42","03"
3,"42","03","43","01"
2,"43","01","17","02"
2,"43","01","20","04"
1,"43","01","11","01"
2,"43","01","32","01"
2,"43","01","41","01"
1,"43","01","42","03"
16,"43","01","43","01"
37,"44","01","10","01"
1,"44","01","15","04"
2,"44","01","31","01"
1,"44","01","37","01"
1,"44","01","41","01"
9,"44","01","07","02"
170,"44","01","43","01"
2,"44","01","03","01"
4,"44","01","08","02"
3,"44","01","17","02"
1317,"44","01","32","01"
16,"44","01","34","01"
7,"44","01","37","02"
1,"44","01","42","03"
2,"45","03","17","04"
291,"46","03","32","01"
3,"46","03","42","03"
79,"46","03","03","01"
1,"46","03","20","04"
2236,"46","03","43","01"
1,"47","01","43","01"
1,"47","01","02","02"
1,"47","01","05","02"
1,"47","01","31","01"
16,"47","01","33","03"
4,"47","01","34","01"
8,"47","01","37","01"
2,"47","01","40","03"
2,"47","01","42","03"
12,"47","01","08","02"
6,"47","01","03","01"
1,"47","01","04","02"
5,"47","01","07","03"
4,"47","01","15","04"
4,"47","01","17","02"
2666,"47","01","32","01"
1,"47","01","33","01"
1,"47","01","41","01"
52,"47","01","47","01"
5,"48","01","23","02"
8,"48","01","07","02"
2,"48","01","08","02"
48,"48","01","18","02"
1,"48","01","30","01"
2,"48","01","07","03"
162,"48","01","20","04"
1276,"48","01","40","03"
6,"48","01","02","02"
8,"48","01","47","01"
528,"49","02","24","02"
2,"49","01","35","02"
6,"49","02","07","02"
24,"49","02","08","02"
54,"49","02","31","01"
4,"49","02","35","03"
136,"49","01","18","02"
6,"49","01","49","02"
4,"49","02","10","01"
12,"49","02","15","04"
738,"49","02","18","02"
6,"49","02","20","04"
3,"49","02","23","02"
2,"49","02","37","01"
1,"50","01","02","02"
10,"50","01","08","02"
364,"50","01","23","02"
2,"50","01","31","01"
1,"50","01","32","01"
2,"50","01","42","03"
2,"50","01","50","01"
442,"50","01","18","02"
3,"50","01","20","04"
11,"50","01","35","03"
4,"50","01","40","03"
2,"50","01","41","01"
